"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img class=\"xr_rn_ xr_rnsp_ xr_ap xr_ro xr_ro0 xr_tt3\" src=\"index_htm_files/5043.png\" alt=\"Appointments\" title=\"\" onmousemove=\"xr_mo(this,0)\" style=\"left:20px;top:528px;width:379px;height:62px;\">","#xr_xrc1 > a:nth-child(11) > img:nth-child(2)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"openinghours.htm\" onclick=\"return(xr_nn());\">\n  <img class=\"xr_rn_ xr_rnsp_ ...</a>","#xr_xrc1 > a:nth-child(12)"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G94.Image","Ensure that the img element's alt text serves the same purpose and presents the same information as the image.","notice","<img class=\"xr_rn_ xr_rnsp_ xr_ap\" src=\"index_htm_files/5033.png\" alt=\"Opening Hours\" title=\"\" onmousemove=\"xr_mo(this,0,event)\" style=\"left:411px;top:528px;width:379px;height:62px;\">","#xr_xrc1 > a:nth-child(12) > img:nth-child(1)"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseMove","Ensure the functionality provided by moving the mouse on this element is available through the keyboard.","warning","<img class=\"xr_rn_ xr_rnsp_ xr_ap\" src=\"index_htm_files/5033.png\" alt=\"Opening Hours\" title=\"\" onmousemove=\"xr_mo(this,0,event)\" style=\"left:411px;top:528px;width:379px;height:62px;\">","#xr_xrc1 > a:nth-child(12) > img:nth-child(1)"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img class=\"xr_rn_ xr_rnsp_ xr_ap\" src=\"index_htm_files/5033.png\" alt=\"Opening Hours\" title=\"\" onmousemove=\"xr_mo(this,0,event)\" style=\"left:411px;top:528px;width:379px;height:62px;\">","#xr_xrc1 > a:nth-child(12) > img:nth-child(1)"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G94.Image","Ensure that the img element's alt text serves the same purpose and presents the same information as the image.","notice","<img class=\"xr_rn_ xr_rnsp_ xr_ap xr_ro xr_ro0 xr_tt3\" src=\"index_htm_files/5044.png\" alt=\"Opening Hours\" title=\"\" onmousemove=\"xr_mo(this,0)\" style=\"left:411px;top:528px;width:379px;height:62px;\">","#xr_xrc1 > a:nth-child(12) > img:nth-child(2)"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseMove","Ensure the functionality provided by moving the mouse on this element is available through the keyboard.","warning","<img class=\"xr_rn_ xr_rnsp_ xr_ap xr_ro xr_ro0 xr_tt3\" src=\"index_htm_files/5044.png\" alt=\"Opening Hours\" title=\"\" onmousemove=\"xr_mo(this,0)\" style=\"left:411px;top:528px;width:379px;height:62px;\">","#xr_xrc1 > a:nth-child(12) > img:nth-child(2)"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img class=\"xr_rn_ xr_rnsp_ xr_ap xr_ro xr_ro0 xr_tt3\" src=\"index_htm_files/5044.png\" alt=\"Opening Hours\" title=\"\" onmousemove=\"xr_mo(this,0)\" style=\"left:411px;top:528px;width:379px;height:62px;\">","#xr_xrc1 > a:nth-child(12) > img:nth-child(2)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"urgentcare.htm\" onclick=\"return(xr_nn());\">\n  <img class=\"xr_rn_ xr_rnsp_ ...</a>","#xr_xrc1 > a:nth-child(13)"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G94.Image","Ensure that the img element's alt text serves the same purpose and presents the same information as the image.","notice","<img class=\"xr_rn_ xr_rnsp_ xr_ap\" src=\"index_htm_files/5034.png\" alt=\"Out of Hours Care\" title=\"\" onmousemove=\"xr_mo(this,0,event)\" style=\"left:20px;top:602px;width:379px;height:62px;\">","#xr_xrc1 > a:nth-child(13) > img:nth-child(1)"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseMove","Ensure the functionality provided by moving the mouse on this element is available through the keyboard.","warning","<img class=\"xr_rn_ xr_rnsp_ xr_ap\" src=\"index_htm_files/5034.png\" alt=\"Out of Hours Care\" title=\"\" onmousemove=\"xr_mo(this,0,event)\" style=\"left:20px;top:602px;width:379px;height:62px;\">","#xr_xrc1 > a:nth-child(13) > img:nth-child(1)"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img class=\"xr_rn_ xr_rnsp_ xr_ap\" src=\"index_htm_files/5034.png\" alt=\"Out of Hours Care\" title=\"\" onmousemove=\"xr_mo(this,0,event)\" style=\"left:20px;top:602px;width:379px;height:62px;\">","#xr_xrc1 > a:nth-child(13) > img:nth-child(1)"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G94.Image","Ensure that the img element's alt text serves the same purpose and presents the same information as the image.","notice","<img class=\"xr_rn_ xr_rnsp_ xr_ap xr_ro xr_ro0 xr_tt3\" src=\"index_htm_files/5045.png\" alt=\"Out of Hours Care\" title=\"\" onmousemove=\"xr_mo(this,0)\" style=\"left:20px;top:602px;width:379px;height:62px;\">","#xr_xrc1 > a:nth-child(13) > img:nth-child(2)"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseMove","Ensure the functionality provided by moving the mouse on this element is available through the keyboard.","warning","<img class=\"xr_rn_ xr_rnsp_ xr_ap xr_ro xr_ro0 xr_tt3\" src=\"index_htm_files/5045.png\" alt=\"Out of Hours Care\" title=\"\" onmousemove=\"xr_mo(this,0)\" style=\"left:20px;top:602px;width:379px;height:62px;\">","#xr_xrc1 > a:nth-child(13) > img:nth-child(2)"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img class=\"xr_rn_ xr_rnsp_ xr_ap xr_ro xr_ro0 xr_tt3\" src=\"index_htm_files/5045.png\" alt=\"Out of Hours Care\" title=\"\" onmousemove=\"xr_mo(this,0)\" style=\"left:20px;top:602px;width:379px;height:62px;\">","#xr_xrc1 > a:nth-child(13) > img:nth-child(2)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"repeatprescriptions.htm\" onclick=\"return(xr_nn());\">\n  <img class=\"xr_rn_ xr_rnsp_ ...</a>","#xr_xrc1 > a:nth-child(14)"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G94.Image","Ensure that the img element's alt text serves the same purpose and presents the same information as the image.","notice","<img class=\"xr_rn_ xr_rnsp_ xr_ap\" src=\"index_htm_files/5035.png\" alt=\"Prescriptions\" title=\"\" onmousemove=\"xr_mo(this,0,event)\" style=\"left:411px;top:602px;width:379px;height:62px;\">","#xr_xrc1 > a:nth-child(14) > img:nth-child(1)"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseMove","Ensure the functionality provided by moving the mouse on this element is available through the keyboard.","warning","<img class=\"xr_rn_ xr_rnsp_ xr_ap\" src=\"index_htm_files/5035.png\" alt=\"Prescriptions\" title=\"\" onmousemove=\"xr_mo(this,0,event)\" style=\"left:411px;top:602px;width:379px;height:62px;\">","#xr_xrc1 > a:nth-child(14) > img:nth-child(1)"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img class=\"xr_rn_ xr_rnsp_ xr_ap\" src=\"index_htm_files/5035.png\" alt=\"Prescriptions\" title=\"\" onmousemove=\"xr_mo(this,0,event)\" style=\"left:411px;top:602px;width:379px;height:62px;\">","#xr_xrc1 > a:nth-child(14) > img:nth-child(1)"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G94.Image","Ensure that the img element's alt text serves the same purpose and presents the same information as the image.","notice","<img class=\"xr_rn_ xr_rnsp_ xr_ap xr_ro xr_ro0 xr_tt3\" src=\"index_htm_files/5046.png\" alt=\"Prescriptions\" title=\"\" onmousemove=\"xr_mo(this,0)\" style=\"left:411px;top:602px;width:379px;height:62px;\">","#xr_xrc1 > a:nth-child(14) > img:nth-child(2)"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseMove","Ensure the functionality provided by moving the mouse on this element is available through the keyboard.","warning","<img class=\"xr_rn_ xr_rnsp_ xr_ap xr_ro xr_ro0 xr_tt3\" src=\"index_htm_files/5046.png\" alt=\"Prescriptions\" title=\"\" onmousemove=\"xr_mo(this,0)\" style=\"left:411px;top:602px;width:379px;height:62px;\">","#xr_xrc1 > a:nth-child(14) > img:nth-child(2)"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img class=\"xr_rn_ xr_rnsp_ xr_ap xr_ro xr_ro0 xr_tt3\" src=\"index_htm_files/5046.png\" alt=\"Prescriptions\" title=\"\" onmousemove=\"xr_mo(this,0)\" style=\"left:411px;top:602px;width:379px;height:62px;\">","#xr_xrc1 > a:nth-child(14) > img:nth-child(2)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"clinics.htm\" onclick=\"return(xr_nn());\">\n  <img class=\"xr_rn_ xr_rnsp_ ...</a>","#xr_xrc1 > a:nth-child(15)"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G94.Image","Ensure that the img element's alt text serves the same purpose and presents the same information as the image.","notice","<img class=\"xr_rn_ xr_rnsp_ xr_ap\" src=\"index_htm_files/5036.png\" alt=\"Services We Offer\" title=\"\" onmousemove=\"xr_mo(this,0,event)\" style=\"left:20px;top:676px;width:379px;height:62px;\">","#xr_xrc1 > a:nth-child(15) > img:nth-child(1)"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseMove","Ensure the functionality provided by moving the mouse on this element is available through the keyboard.","warning","<img class=\"xr_rn_ xr_rnsp_ xr_ap\" src=\"index_htm_files/5036.png\" alt=\"Services We Offer\" title=\"\" onmousemove=\"xr_mo(this,0,event)\" style=\"left:20px;top:676px;width:379px;height:62px;\">","#xr_xrc1 > a:nth-child(15) > img:nth-child(1)"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img class=\"xr_rn_ xr_rnsp_ xr_ap\" src=\"index_htm_files/5036.png\" alt=\"Services We Offer\" title=\"\" onmousemove=\"xr_mo(this,0,event)\" style=\"left:20px;top:676px;width:379px;height:62px;\">","#xr_xrc1 > a:nth-child(15) > img:nth-child(1)"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G94.Image","Ensure that the img element's alt text serves the same purpose and presents the same information as the image.","notice","<img class=\"xr_rn_ xr_rnsp_ xr_ap xr_ro xr_ro0 xr_tt3\" src=\"index_htm_files/5047.png\" alt=\"Services We Offer\" title=\"\" onmousemove=\"xr_mo(this,0)\" style=\"left:20px;top:676px;width:379px;height:62px;\">","#xr_xrc1 > a:nth-child(15) > img:nth-child(2)"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseMove","Ensure the functionality provided by moving the mouse on this element is available through the keyboard.","warning","<img class=\"xr_rn_ xr_rnsp_ xr_ap xr_ro xr_ro0 xr_tt3\" src=\"index_htm_files/5047.png\" alt=\"Services We Offer\" title=\"\" onmousemove=\"xr_mo(this,0)\" style=\"left:20px;top:676px;width:379px;height:62px;\">","#xr_xrc1 > a:nth-child(15) > img:nth-child(2)"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img class=\"xr_rn_ xr_rnsp_ xr_ap xr_ro xr_ro0 xr_tt3\" src=\"index_htm_files/5047.png\" alt=\"Services We Offer\" title=\"\" onmousemove=\"xr_mo(this,0)\" style=\"left:20px;top:676px;width:379px;height:62px;\">","#xr_xrc1 > a:nth-child(15) > img:nth-child(2)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"register.htm\" onclick=\"return(xr_nn());\">\n  <img class=\"xr_rn_ xr_rnsp_ ...</a>","#xr_xrc1 > a:nth-child(16)"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G94.Image","Ensure that the img element's alt text serves the same purpose and presents the same information as the image.","notice","<img class=\"xr_rn_ xr_rnsp_ xr_ap\" src=\"index_htm_files/5037.png\" alt=\"Register With Us\" title=\"\" onmousemove=\"xr_mo(this,0,event)\" style=\"left:411px;top:676px;width:379px;height:62px;\">","#xr_xrc1 > a:nth-child(16) > img:nth-child(1)"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseMove","Ensure the functionality provided by moving the mouse on this element is available through the keyboard.","warning","<img class=\"xr_rn_ xr_rnsp_ xr_ap\" src=\"index_htm_files/5037.png\" alt=\"Register With Us\" title=\"\" onmousemove=\"xr_mo(this,0,event)\" style=\"left:411px;top:676px;width:379px;height:62px;\">","#xr_xrc1 > a:nth-child(16) > img:nth-child(1)"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img class=\"xr_rn_ xr_rnsp_ xr_ap\" src=\"index_htm_files/5037.png\" alt=\"Register With Us\" title=\"\" onmousemove=\"xr_mo(this,0,event)\" style=\"left:411px;top:676px;width:379px;height:62px;\">","#xr_xrc1 > a:nth-child(16) > img:nth-child(1)"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G94.Image","Ensure that the img element's alt text serves the same purpose and presents the same information as the image.","notice","<img class=\"xr_rn_ xr_rnsp_ xr_ap xr_ro xr_ro0 xr_tt3\" src=\"index_htm_files/5048.png\" alt=\"Register With Us\" title=\"\" onmousemove=\"xr_mo(this,0)\" style=\"left:411px;top:676px;width:379px;height:62px;\">","#xr_xrc1 > a:nth-child(16) > img:nth-child(2)"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseMove","Ensure the functionality provided by moving the mouse on this element is available through the keyboard.","warning","<img class=\"xr_rn_ xr_rnsp_ xr_ap xr_ro xr_ro0 xr_tt3\" src=\"index_htm_files/5048.png\" alt=\"Register With Us\" title=\"\" onmousemove=\"xr_mo(this,0)\" style=\"left:411px;top:676px;width:379px;height:62px;\">","#xr_xrc1 > a:nth-child(16) > img:nth-child(2)"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img class=\"xr_rn_ xr_rnsp_ xr_ap xr_ro xr_ro0 xr_tt3\" src=\"index_htm_files/5048.png\" alt=\"Register With Us\" title=\"\" onmousemove=\"xr_mo(this,0)\" style=\"left:411px;top:676px;width:379px;height:62px;\">","#xr_xrc1 > a:nth-child(16) > img:nth-child(2)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"location.htm\" onclick=\"return(xr_nn());\">\n  <img class=\"xr_rn_ xr_rnsp_ ...</a>","#xr_xrc1 > a:nth-child(17)"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G94.Image","Ensure that the img element's alt text serves the same purpose and presents the same information as the image.","notice","<img class=\"xr_rn_ xr_rnsp_ xr_ap\" src=\"index_htm_files/5038.png\" alt=\"Find Us\" title=\"\" onmousemove=\"xr_mo(this,0,event)\" style=\"left:20px;top:750px;width:379px;height:62px;\">","#xr_xrc1 > a:nth-child(17) > img:nth-child(1)"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseMove","Ensure the functionality provided by moving the mouse on this element is available through the keyboard.","warning","<img class=\"xr_rn_ xr_rnsp_ xr_ap\" src=\"index_htm_files/5038.png\" alt=\"Find Us\" title=\"\" onmousemove=\"xr_mo(this,0,event)\" style=\"left:20px;top:750px;width:379px;height:62px;\">","#xr_xrc1 > a:nth-child(17) > img:nth-child(1)"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img class=\"xr_rn_ xr_rnsp_ xr_ap\" src=\"index_htm_files/5038.png\" alt=\"Find Us\" title=\"\" onmousemove=\"xr_mo(this,0,event)\" style=\"left:20px;top:750px;width:379px;height:62px;\">","#xr_xrc1 > a:nth-child(17) > img:nth-child(1)"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G94.Image","Ensure that the img element's alt text serves the same purpose and presents the same information as the image.","notice","<img class=\"xr_rn_ xr_rnsp_ xr_ap xr_ro xr_ro0 xr_tt3\" src=\"index_htm_files/5049.png\" alt=\"Find Us\" title=\"\" onmousemove=\"xr_mo(this,0)\" style=\"left:20px;top:750px;width:379px;height:62px;\">","#xr_xrc1 > a:nth-child(17) > img:nth-child(2)"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseMove","Ensure the functionality provided by moving the mouse on this element is available through the keyboard.","warning","<img class=\"xr_rn_ xr_rnsp_ xr_ap xr_ro xr_ro0 xr_tt3\" src=\"index_htm_files/5049.png\" alt=\"Find Us\" title=\"\" onmousemove=\"xr_mo(this,0)\" style=\"left:20px;top:750px;width:379px;height:62px;\">","#xr_xrc1 > a:nth-child(17) > img:nth-child(2)"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img class=\"xr_rn_ xr_rnsp_ xr_ap xr_ro xr_ro0 xr_tt3\" src=\"index_htm_files/5049.png\" alt=\"Find Us\" title=\"\" onmousemove=\"xr_mo(this,0)\" style=\"left:20px;top:750px;width:379px;height:62px;\">","#xr_xrc1 > a:nth-child(17) > img:nth-child(2)"
