"code","message","type","context","selector"
"WCAG2AAA.Principle2.Guideline2_4.2_4_2.H25.2","Check that the title element describes the document.","notice","<title>Sheringham Medical Practice - H...</title>","html > head > title"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 7:1.","warning","<div id=\"loadingbar\">Loading...</div>","#loadingbar"
"WCAG2AAA.Principle3.Guideline3_3.3_3_1.G83,G84,G85","If an input error is automatically detected in this form, check that the item(s) in error are identified and the error(s) are described to the user in text.","notice","<form action=\"\" method=\"post\">\n\t\t\t\t\t<p>This site uses cookies...</form>","#cookieLawBox > form"
"WCAG2AAA.Principle3.Guideline3_3.3_3_2.G131,G89,G184,H90","Check that descriptive labels or instructions (including for required fields) are provided for user input in this form.","notice","<form action=\"\" method=\"post\">\n\t\t\t\t\t<p>This site uses cookies...</form>","#cookieLawBox > form"
"WCAG2AAA.Principle3.Guideline3_3.3_3_3.G177","Check that this form provides suggested corrections to errors in user input, unless it would jeopardize the security or purpose of the content.","notice","<form action=\"\" method=\"post\">\n\t\t\t\t\t<p>This site uses cookies...</form>","#cookieLawBox > form"
"WCAG2AAA.Principle3.Guideline3_3.3_3_5.G71,G184,G193","Check that context-sensitive help is available for this form, at a Web-page and/or control level.","notice","<form action=\"\" method=\"post\">\n\t\t\t\t\t<p>This site uses cookies...</form>","#cookieLawBox > form"
"WCAG2AAA.Principle3.Guideline3_3.3_3_6.G98,G99,G155,G164,G168.AllForms","Check that submissions to this form are either reversible, checked for input errors, and/or confirmed by the user.","notice","<form action=\"\" method=\"post\">\n\t\t\t\t\t<p>This site uses cookies...</form>","#cookieLawBox > form"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<p>This site uses cookies to store...</p>","#cookieLawBox > form > p"
"WCAG2AAA.Principle3.Guideline3_2.3_2_1.G107","Check that a change of context does not occur when this input field receives focus.","notice","<input type=\"hidden\" name=\"cookieAllowed\" value=\"yes\">","#cookieLawBox > form > p > input:nth-child(1)"
"WCAG2AAA.Principle3.Guideline3_2.3_2_1.G107","Check that a change of context does not occur when this input field receives focus.","notice","<input type=\"submit\" value=\"Allow Cookies\">","#cookieLawBox > form > p > input:nth-child(2)"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<a href=\"index.php?disclaimer=1#cookies\">Read More</a>","#cookieLawBox > form > p > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"index.php?disclaimer=1#cookies\">Read More</a>","#cookieLawBox > form > p > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a onclick=\"$('#sub_66685').toggle('fast');\" style=\"cursor: pointer; cursor: hand;\" href=\"javascript:return false;\">Data Protection</a>","#menu > ul > li:nth-child(3) > div > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"Data Protection\" href=\"data-protection,66686.htm\" class=\"\">Data Protection</a>","#sub_66685 > li:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"Privacy policy\" href=\"privacy-policy,66687.htm\" class=\"\">Privacy policy</a>","#sub_66685 > li:nth-child(2) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"Sharing Partners\" href=\"sharing-partners,66688.htm\" class=\"\">Sharing Partners</a>","#sub_66685 > li:nth-child(3) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"Transparency Notice\" href=\"gdpr-videos,66689.htm\" class=\"\">Transparency Notice</a>","#sub_66685 > li:nth-child(4) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"Information Governance Policy\" href=\"information-governance-policy,67316.htm\" class=\"\">Information Governance Policy</a>","#sub_66685 > li:nth-child(5) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"General Data Protection Updates\" href=\"general-data-protection-updates,67420.htm\" class=\"\">General Data Protection Updates</a>","#sub_66685 > li:nth-child(6) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.61:1. Recommendation: change text colour to #3c3c3c.","error","<a title=\"Announcements\" href=\"announcements,57372.htm\" class=\"\">Announcements</a>","#menu > ul > li:nth-child(4) > div:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"Announcements\" href=\"announcements,57372.htm\" class=\"\">Announcements</a>","#menu > ul > li:nth-child(4) > div:nth-child(1) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.61:1. Recommendation: change text colour to #3c3c3c.","error","<a title=\"Appointments\" href=\"appointments,24447.htm\" class=\"\">Appointments</a>","#menu > ul > li:nth-child(5) > div:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"Appointments\" href=\"appointments,24447.htm\" class=\"\">Appointments</a>","#menu > ul > li:nth-child(5) > div:nth-child(1) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.61:1. Recommendation: change text colour to #3c3c3c.","error","<a title=\"Bereavement Information\" href=\"bereavement-information,64539.htm\" class=\"\">Bereavement Information</a>","#menu > ul > li:nth-child(6) > div:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"Bereavement Information\" href=\"bereavement-information,64539.htm\" class=\"\">Bereavement Information</a>","#menu > ul > li:nth-child(6) > div:nth-child(1) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.61:1. Recommendation: change text colour to #3c3c3c.","error","<a title=\"Blue Badge Applications\" href=\"blue-badge-applications,66139.htm\" class=\"\">Blue Badge Applications</a>","#menu > ul > li:nth-child(7) > div:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"Blue Badge Applications\" href=\"blue-badge-applications,66139.htm\" class=\"\">Blue Badge Applications</a>","#menu > ul > li:nth-child(7) > div:nth-child(1) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.61:1. Recommendation: change text colour to #3c3c3c.","error","<a title=\"Care.Data Patient Information\" href=\"test1,57770.htm\" class=\"\">Care.Data Patient Information</a>","#menu > ul > li:nth-child(8) > div:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"Care.Data Patient Information\" href=\"test1,57770.htm\" class=\"\">Care.Data Patient Information</a>","#menu > ul > li:nth-child(8) > div:nth-child(1) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.61:1. Recommendation: change text colour to #3c3c3c.","error","<a title=\"Carers Information\" href=\"are-you-looking-after-someone,65973.htm\" class=\"\">Carers Information</a>","#menu > ul > li:nth-child(9) > div:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"Carers Information\" href=\"are-you-looking-after-someone,65973.htm\" class=\"\">Carers Information</a>","#menu > ul > li:nth-child(9) > div:nth-child(1) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.61:1. Recommendation: change text colour to #3c3c3c.","error","<a title=\"Chaperone Policy\" href=\"chaperone-policy,63947.htm\" class=\"\">Chaperone Policy</a>","#menu > ul > li:nth-child(10) > div:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"Chaperone Policy\" href=\"chaperone-policy,63947.htm\" class=\"\">Chaperone Policy</a>","#menu > ul > li:nth-child(10) > div:nth-child(1) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.61:1. Recommendation: change text colour to #3c3c3c.","error","<a title=\"Confidentiality\" href=\"confidentiality,24672.htm\" class=\"\">Confidentiality</a>","#menu > ul > li:nth-child(11) > div:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"Confidentiality\" href=\"confidentiality,24672.htm\" class=\"\">Confidentiality</a>","#menu > ul > li:nth-child(11) > div:nth-child(1) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.61:1. Recommendation: change text colour to #3c3c3c.","error","<a title=\"Dementia\" href=\"dementia,64693.htm\" class=\"\">Dementia</a>","#menu > ul > li:nth-child(12) > div:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"Dementia\" href=\"dementia,64693.htm\" class=\"\">Dementia</a>","#menu > ul > li:nth-child(12) > div:nth-child(1) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.61:1. Recommendation: change text colour to #3c3c3c.","error","<a title=\"Diabetes Information\" href=\"diabetes-information,66355.htm\" class=\"\">Diabetes Information</a>","#menu > ul > li:nth-child(13) > div:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"Diabetes Information\" href=\"diabetes-information,66355.htm\" class=\"\">Diabetes Information</a>","#menu > ul > li:nth-child(13) > div:nth-child(1) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.61:1. Recommendation: change text colour to #3c3c3c.","error","<a title=\"Health &amp; Care Videos\" href=\"health-and-care-videos,67225.htm\" class=\"\">Health &amp; Care Videos</a>","#menu > ul > li:nth-child(14) > div:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"Health &amp; Care Videos\" href=\"health-and-care-videos,67225.htm\" class=\"\">Health &amp; Care Videos</a>","#menu > ul > li:nth-child(14) > div:nth-child(1) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.61:1. Recommendation: change text colour to #3c3c3c.","error","<a title=\"Enhanced Data Sharing Model\" href=\"enhanced-data-sharing-model,66322.htm\" class=\"\">Enhanced Data Sharing Model</a>","#menu > ul > li:nth-child(15) > div:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"Enhanced Data Sharing Model\" href=\"enhanced-data-sharing-model,66322.htm\" class=\"\">Enhanced Data Sharing Model</a>","#menu > ul > li:nth-child(15) > div:nth-child(1) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.61:1. Recommendation: change text colour to #3c3c3c.","error","<a title=\"Enhanced Summary Record\" href=\"enhanced-summary-record,66321.htm\" class=\"\">Enhanced Summary Record</a>","#menu > ul > li:nth-child(16) > div:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"Enhanced Summary Record\" href=\"enhanced-summary-record,66321.htm\" class=\"\">Enhanced Summary Record</a>","#menu > ul > li:nth-child(16) > div:nth-child(1) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.61:1. Recommendation: change text colour to #3c3c3c.","error","<a onclick=\"$('#sub_64698').toggle('fast');\" style=\"cursor: pointer; cursor: hand;\" href=\"javascript:return false;\">Campaigns</a>","#menu > ul > li:nth-child(17) > div > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a onclick=\"$('#sub_64698').toggle('fast');\" style=\"cursor: pointer; cursor: hand;\" href=\"javascript:return false;\">Campaigns</a>","#menu > ul > li:nth-child(17) > div > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"Be Clear on Cancer\" href=\"be-clear-on-cancer,64837.htm\" class=\"\">Be Clear on Cancer</a>","#sub_64698 > li:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"Act F.A.S.T\" href=\"fast,65757.htm\" class=\"\">Act F.A.S.T</a>","#sub_64698 > li:nth-child(2) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"Meninigitis B Vaccination\" href=\"meninigitis-b-vaccination,64699.htm\" class=\"\">Meninigitis B Vaccination</a>","#sub_64698 > li:nth-child(3) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"Pneumonia Vaccination\" href=\"pneumonia-vaccination,64700.htm\" class=\"\">Pneumonia Vaccination</a>","#sub_64698 > li:nth-child(4) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"Shingles Information\" href=\"shingles-information,64332.htm\" class=\"\">Shingles Information</a>","#sub_64698 > li:nth-child(5) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.61:1. Recommendation: change text colour to #3c3c3c.","error","<a title=\"Feedback\" href=\"complaints-and-feedback,24440.htm\" class=\"\">Feedback</a>","#menu > ul > li:nth-child(18) > div:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"Feedback\" href=\"complaints-and-feedback,24440.htm\" class=\"\">Feedback</a>","#menu > ul > li:nth-child(18) > div:nth-child(1) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.61:1. Recommendation: change text colour to #3c3c3c.","error","<a title=\"Forms, Documents &amp; Website ...\" href=\"useful-documents,56533.htm\" class=\"\">Forms, Documents &amp; Website Links</a>","#menu > ul > li:nth-child(19) > div:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"Forms, Documents &amp; Website ...\" href=\"useful-documents,56533.htm\" class=\"\">Forms, Documents &amp; Website Links</a>","#menu > ul > li:nth-child(19) > div:nth-child(1) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.61:1. Recommendation: change text colour to #3c3c3c.","error","<a title=\"Friends &amp; Family Test\" href=\"friends-and-family-test,63390.htm\" class=\"\">Friends &amp; Family Test</a>","#menu > ul > li:nth-child(20) > div:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"Friends &amp; Family Test\" href=\"friends-and-family-test,63390.htm\" class=\"\">Friends &amp; Family Test</a>","#menu > ul > li:nth-child(20) > div:nth-child(1) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.61:1. Recommendation: change text colour to #3c3c3c.","error","<a title=\"Health &amp; Wellbeing - Adults...\" href=\"health-and-wellbeing-young-people,63868.htm\" class=\"\">Health &amp; Wellbeing - Adults, Children &amp; Young People</a>","#menu > ul > li:nth-child(21) > div:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"Health &amp; Wellbeing - Adults...\" href=\"health-and-wellbeing-young-people,63868.htm\" class=\"\">Health &amp; Wellbeing - Adults, Children &amp; Young People</a>","#menu > ul > li:nth-child(21) > div:nth-child(1) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.61:1. Recommendation: change text colour to #3c3c3c.","error","<a title=\"Home Visits\" href=\"home-visits,24448.htm\" class=\"\">Home Visits</a>","#menu > ul > li:nth-child(22) > div:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"Home Visits\" href=\"home-visits,24448.htm\" class=\"\">Home Visits</a>","#menu > ul > li:nth-child(22) > div:nth-child(1) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.61:1. Recommendation: change text colour to #3c3c3c.","error","<a title=\"Job Vacancies\" href=\"job-vacancies,41897.htm\" class=\"\">Job Vacancies</a>","#menu > ul > li:nth-child(23) > div:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"Job Vacancies\" href=\"job-vacancies,41897.htm\" class=\"\">Job Vacancies</a>","#menu > ul > li:nth-child(23) > div:nth-child(1) > a"
